"foldername";"BETRAG2018";"BUCHUNG2018";"CHECK2018";"BETRAG2019";"BUCHUNG2019";"CHECK2019";"BETRAG2020";"BUCHUNG2020";"CHECK2020";"PROBLEMS";"PATH"
"ste.jt.kapital.schiffe.europe_star.newport.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.europe_star.newport.jahr.dokumente"
"ste.jt.kapital.schiffe.schiffsportfolio_iii_las_vegas.lloydfonds.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.schiffsportfolio_iii_las_vegas.lloydfonds.jahr.dokumente"
"ste.jt.kapital.schiffe.vega_aquarius.shi.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.vega_aquarius.shi.jahr.dokumente"
"ste.jt.kapital.schiffe.wehr_mosel.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.wehr_mosel.drpeters.jahr.dokumente"
"ste.jt.kapital.schiffe.rio_para.frisia.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.rio_para.frisia.jahr.dokumente"
"ste.jt.kapital.schiffe.maritim_invest_ix.ivr.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.maritim_invest_ix.ivr.jahr.dokumente"
"ste.jt.kapital.schiffe.mistral.tresta.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.mistral.tresta.jahr.dokumente"
"ste.jt.kapital.schiffe.offshore_fonds_4.nordkapital.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.offshore_fonds_4.nordkapital.jahr.dokumente"
"ste.jt.kapital.schiffe.cape_brett.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.cape_brett.drpeters.jahr.dokumente"
"ste.gt.immo.wenn.objekt.nebenkosten.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\9.immo.wenn\ste.gt.immo.wenn.objekt.nebenkosten.jahr.dokumente"
"ste.gt.immo.lili.objekt.stadt.jahr.betrag.0984303_1000_001";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\8.immo.lili\ste.gt.immo.lili.objekt.stadt.jahr.betrag.0984303_1000_001"
"ste.jt.kapital.schiffe.cape_byron.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.cape_byron.drpeters.jahr.dokumente"
"ste.jt.kapital.schiffe.cape_spear.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.cape_spear.drpeters.jahr.dokumente"
"ste.jt.kapital.schiffe.cape_cavo.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.cape_cavo.drpeters.jahr.dokumente"
"ste.jt.kapital.schiffe.cape_campbell.drpeters.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\KAPITAL\ste.jt.kapital.schiffe.cape_campbell.drpeters.jahr.dokumente"
"ste.jt.immo.o13h.objekt.stadt.jahr.dokumente.7058744";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\4.immo.o13h\ste.jt.immo.o13h.objekt.stadt.jahr.dokumente.7058744"
"ste.jt.immo.imdo.whg_07.nebenkosten.jahr.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\2.immo.imdo\ste.jt.immo.imdo.whg_07.nebenkosten.jahr.betrag"
"ste.jt.immo.o13a.objekt.stadt.jahr.betrag.13a_0984345";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.stadt.jahr.betrag.13a_0984345"
